year,quarter,province,origin,total_spend,quarterly_arrivals,spend_per_arrival,period,covid_period,low_reliability
2018,3,Alberta,China,245868000.0,38520.0,6382.866043613707,2018-Q3,False,False
2018,4,Newfoundland and Labrador,Germany,4104000.0,2928.0,1401.639344262295,2018-Q4,False,False
2018,4,Nova Scotia,India,2946000.0,498.0,5915.6626506024095,2018-Q4,False,False
2018,4,Quebec,Germany,44475000.0,88146.0,504.56061534272686,2018-Q4,False,False
2019,1,Nova Scotia,Mexico,3810000.0,420.0,9071.42857142857,2019-Q1,False,False
2019,2,Newfoundland and Labrador,Australia,5529000.0,240.0,23037.5,2019-Q2,False,False
2019,3,Saskatchewan,Mexico,7914000.0,750.0,10552.0,2019-Q3,False,False
2019,4,Saskatchewan,Japan,3519000.0,72.0,48875.0,2019-Q4,False,False
2019,4,Yukon,United States,27147000.0,79650.0,340.8286252354049,2019-Q4,False,True
2021,1,New Brunswick,United States,4080000.0,44058.0,92.60520223341959,2021-Q1,True,False
2022,2,Quebec,United States,892242000.0,2477808.0,360.0932759923287,2022-Q2,True,False
2018,2,Quebec,Germany,88245000.0,93366.0,945.151339888182,2018-Q2,False,False
2019,2,Newfoundland and Labrador,France,9405000.0,2532.0,3714.4549763033174,2019-Q2,False,False
2019,4,Alberta,France,19560000.0,7134.0,2741.799831791421,2019-Q4,False,False
2019,4,Yukon,Mexico,4758000.0,276.0,17239.130434782608,2019-Q4,False,True
2020,1,Ontario,China,174084000.0,237714.0,732.3253994295666,2020-Q1,True,False
2020,1,Saskatchewan,United Kingdom,4593000.0,204.0,22514.70588235294,2020-Q1,True,False
2020,1,Yukon,United States,17754000.0,35622.0,498.3998652518107,2020-Q1,True,True
2018,1,Saskatchewan,Germany,3069000.0,120.0,25575.0,2018-Q1,False,False
2018,4,Quebec,Australia,39168000.0,28476.0,1375.4740834386853,2018-Q4,False,False
2019,1,Nova Scotia,Australia,3987000.0,318.0,12537.735849056604,2019-Q1,False,False
2019,1,Yukon,United Kingdom,4689000.0,150.0,31260.0,2019-Q1,False,True
2019,2,Ontario,Japan,93294000.0,111666.0,835.4736446187738,2019-Q2,False,False
2019,3,New Brunswick,Japan,4344000.0,948.0,4582.278481012659,2019-Q3,False,False
2019,3,British Columbia,France,101817000.0,133818.0,760.8617674752276,2019-Q3,False,False
2020,2,Newfoundland and Labrador,United States,1398000.0,7764.0,180.06182380216384,2020-Q2,True,False
2022,3,Quebec,United States,1497018024.0,3901560.0,383.69729646602894,2022-Q3,True,False
2018,1,Nova Scotia,Germany,5151000.0,2358.0,2184.4783715012722,2018-Q1,False,False
2018,1,Quebec,Germany,27951000.0,45330.0,616.6115155526142,2018-Q1,False,False
2018,4,Saskatchewan,Germany,3636000.0,234.0,15538.461538461539,2018-Q4,False,False
2019,1,Manitoba,Australia,5031000.0,2262.0,2224.137931034483,2019-Q1,False,False
2019,1,Alberta,India,21717000.0,12528.0,1733.4770114942528,2019-Q1,False,False
2019,2,Newfoundland and Labrador,United States,46713000.0,31494.0,1483.2349018860734,2019-Q2,False,False
2019,3,British Columbia,Australia,356904000.0,534480.0,667.759317467445,2019-Q3,False,False
